lon,lat,alti  
-6.250833962112665, 53.349823448807
-6.240578116849065,53.346264995634556
-6.234148442745209,53.345749927684665
-6.2343010772019625,53.345629312098026
-6.2377341371029615,53.346079755574465
-6.241282029077411, 53.34753661416471
-6.241282029077411, 53.34753661416471
-6.2508339621126651763916015625,53.3498234488070011138916015625, 11.6000003814697265625
-6.25083086080849170684814453125,53.349802158772945404052734375, 11.6000003814697265625
-6.2507705949246883392333984375,53.34959437139332294464111328125, 12.19999980926513671875
-6.25066288746893405914306640625,53.3494113944470882415771484375, 12.80000019073486328125
-6.2506130151450634002685546875,53.34939085878431797027587890625, 12.80000019073486328125
-6.250579990446567535400390625,53.3494177646934986114501953125, 12.80000019073486328125
-6.25073052942752838134765625,53.34945707581937313079833984375, 12.6000003814697265625
-6.25086036510765552520751953125,53.34924115799367427825927734375, 12.3999996185302734375
-6.25086790882050991058349609375,53.3489812351763248443603515625, 11.80000019073486328125
-6.2508084811270236968994140625,53.34876674227416515350341796875, 12.19999980926513671875
-6.25073446892201900482177734375,53.34856130182743072509765625, 12.3999996185302734375
-6.25070194713771343231201171875,53.34852165542542934417724609375, 12.6000003814697265625
-6.25066372565925121307373046875,53.3484836854040622711181640625, 12.80000019073486328125
-6.25047446228563785552978515625,53.34833289496600627899169921875, 12.6000003814697265625
-6.250296346843242645263671875,53.34828444756567478179931640625, 13
-6.24996249563992023468017578125,53.34825494326651096343994140625, 14.19999980926513671875
-6.2499173171818256378173828125,53.34824857302010059356689453125, 14.19999980926513671875
-6.24981832690536975860595703125,53.3482412807643413543701171875, 14.3999996185302734375
-6.24955438077449798583984375,53.3482241816818714141845703125, 13.19999980926513671875
-6.24929445795714855194091796875,53.348190151154994964599609375, 11.6000003814697265625
-6.2491434998810291290283203125,53.3481621555984020233154296875, 11
-6.24880646355450153350830078125,53.34813139401376247406005859375, 9.6000003814697265625
-6.24847386963665485382080078125,53.34810038097202777862548828125, 7.599999904632568359375
-6.24814161099493503570556640625,53.3480657637119293212890625, 7
-6.24786299653351306915283203125,53.3479852974414825439453125, 7.400000095367431640625
-6.2478634156286716461181640625,53.34780248813331127166748046875, 6.80000019073486328125
-6.24789266847074031829833984375,53.347617499530315399169921875, 5.80000019073486328125
-6.24793876893818378448486328125,53.3474235422909259796142578125, 5
-6.24797883443534374237060546875,53.347221873700618743896484375, 4
-6.24800934456288814544677734375,53.3470238931477069854736328125, 3
-6.24799274839460849761962890625,53.3469467796385288238525390625, 2.599999904632568359375
-6.24770843423902988433837890625,53.3468636311590671539306640625, 2.2000000476837158203125
-6.2473799474537372589111328125,53.34682415239512920379638671875, 2
-6.24705313704907894134521484375,53.34678341634571552276611328125, 2
-6.24670964665710926055908203125,53.3467328734695911407470703125, 2.2000000476837158203125
-6.2463892064988613128662109375,53.34664243273437023162841796875, 2.599999904632568359375
-6.24609039165079593658447265625,53.346608988940715789794921875, 3.400000095367431640625
-6.24577514827251434326171875,53.346580155193805694580078125, 4
-6.245464347302913665771484375,53.3465119265019893646240234375, 4.80000019073486328125
-6.2451285682618618011474609375,53.3464586175978183746337890625, 5.599999904632568359375
-6.24479521997272968292236328125,53.34640371613204479217529296875, 6
-6.24448928050696849822998046875,53.34639650769531726837158203125, 5.19999980926513671875
-6.24414243735373020172119140625,53.34636859595775604248046875, 4.80000019073486328125
-6.2438320554792881011962890625,53.34633699618279933929443359375, 4.19999980926513671875
-6.24350021593272686004638671875,53.34631972946226596832275390625, 3.599999904632568359375
-6.243166364729404449462890625,53.34635459817945957183837890625, 3.2000000476837158203125
-6.24281759373843669891357421875,53.34634588100016117095947265625, 3.400000095367431640625
-6.24249254353344440460205078125,53.346241526305675506591796875, 3.599999904632568359375
-6.24220605008304119110107421875,53.34615410305559635162353515625, 4
-6.24188669957220554351806640625,53.34615343250334262847900390625, 4.19999980926513671875
-6.24157011508941650390625,53.3462034724652767181396484375, 4.599999904632568359375
-6.24124062247574329376220703125,53.34627128206193447113037109375, 5
-6.24090492725372314453125,53.346275724470615386962890625, 5
-6.24062991701066493988037109375,53.34626742638647556304931640625, 5
-6.24029765836894512176513671875,53.3462044782936573028564453125, 4.599999904632568359375
-6.24000705778598785400390625,53.34613666869699954986572265625, 4.19999980926513671875
-6.23969533480703830718994140625,53.346085958182811737060546875, 4
-6.23939056880772113800048828125,53.3460596390068531036376953125, 4
-6.2390582263469696044921875,53.3460556156933307647705078125, 4
-6.23871079646050930023193359375,53.3460299670696258544921875, 4
-6.238372586667537689208984375,53.34602124989032745361328125, 4
-6.2380470335483551025390625,53.34603256545960903167724609375, 3.7999999523162841796875
-6.2377193011343479156494140625,53.3460237644612789154052734375, 3
-6.23741378076374530792236328125,53.34601462818682193756103515625, 2.400000095367431640625
-6.2370760738849639892578125,53.34599384106695652008056640625, 2
-6.236766614019870758056640625,53.34595645777881145477294921875, 3.400000095367431640625
-6.236452795565128326416015625,53.345947824418544769287109375, 6
-6.23609832488000392913818359375,53.34593432955443859100341796875, 6
